"Continent","Region","Country","Mammals","Birds","Reptiles","Amphibians","Fishes","Molluscs","Other Inverts","Plants","Total"
"AFRICA","North Africa","Algeria",14,11,8,3,35,10,15,17,113
"AFRICA","North Africa","Egypt",18,11,12,0,41,0,54,3,139
"AFRICA","North Africa","Libya",12,4,6,0,23,0,1,3,49
"AFRICA","North Africa","Morocco",17,12,13,2,45,35,11,34,169
"AFRICA","North Africa","Tunisia",13,7,6,1,34,6,8,7,82
"AFRICA","North Africa","Western Sahara",9,2,1,0,25,0,3,0,40
"AFRICA","Sub-Saharan Africa","Angola",16,26,4,0,41,5,4,34,130
"AFRICA","Sub-Saharan Africa","Benin",12,10,5,0,28,0,3,16,74
"AFRICA","Sub-Saharan Africa","Botswana",8,12,0,0,2,0,0,2,24
"AFRICA","Sub-Saharan Africa","Burkina Faso",9,10,2,0,4,1,0,3,29
"AFRICA","Sub-Saharan Africa","Burundi",11,13,0,5,17,4,3,7,60
"AFRICA","Sub-Saharan Africa","Cameroon",41,25,6,55,109,11,16,425,688
"AFRICA","Sub-Saharan Africa","Cape Verde",4,4,5,0,22,12,1,3,51
"AFRICA","Sub-Saharan Africa","Central African Republic",12,14,2,0,3,0,0,22,53
"AFRICA","Sub-Saharan Africa","Chad",14,12,2,0,1,4,0,5,38
"AFRICA","Sub-Saharan Africa","Comoros",5,10,4,0,7,0,73,7,106
"AFRICA","Sub-Saharan Africa","Congo",14,5,4,0,47,5,2,41,118
"AFRICA","Sub-Saharan Africa","Congo The Democratic Republic of the",34,36,5,13,84,43,10,107,332
"AFRICA","Sub-Saharan Africa","Côte d'Ivoire",26,20,6,14,47,3,3,107,226
"AFRICA","Sub-Saharan Africa","Djibouti",7,10,0,0,17,1,56,3,94
"AFRICA","Sub-Saharan Africa","Equatorial Guinea",22,7,7,4,29,0,5,77,151
"AFRICA","Sub-Saharan Africa","Eritrea",10,15,6,0,20,1,57,4,113
"AFRICA","Sub-Saharan Africa","Ethiopia",33,29,1,12,14,4,11,40,144
"AFRICA","Sub-Saharan Africa","Gabon",18,5,5,3,61,0,3,132,227
"AFRICA","Sub-Saharan Africa","Gambia",10,10,4,0,24,0,2,5,55
